Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
90,Aragonite,2.0976,1.6343,3,180.5,20.58,2.6099,2.5503,108.19,1.28,2.84,167.91,140.86,81.45,True,no,0.740793834027298,0.95931190642435,0.803708954366068,-0.218518072397052
91,Aragonite,3.0416,1.9679,2,239.48,22.24,3.0954,2.4741,98.294,0.65,1.53,122.53,148.3,80.82,True,no,1.11238369275203,1.12991713849652,0.982619370679072,-0.0175334457444946
92,Aragonite,1.4683,1.3673,2,286,21.11,2.4694,3.2618,88.641,0.33,1.03,35.96,110.56,171.81,True,no,0.384105268986755,0.903975206151506,0.594597878027051,-0.519869937164751
93,Aragonite,3.6709,2.1619,1,377.84,23.36,3.7429,2.9973,79.871,0.6,1.07,178.34,43.2,174.63,True,no,1.30043686360975,1.31986071202786,0.980763579042988,-0.0194238484181094
94,Aragonite,0.62929,0.89512,0,637.42,17.25,1.0246,1.3103,147.93,0.07,0.32,48.34,47.22,49.78,True,no,-0.463163079247683,0.0243022925229648,0.614181143861019,-0.487465371770647
95,Aragonite,2.0452,1.6137,4,77.41,21.1,1.9702,1.4907,59.098,0.69,2.03,46.91,48.5,76.22,True,no,0.715495584223707,0.678135060439442,1.03806720129936,0.0373605237842653
96,Aragonite,0.8915,1.0654,1,208.18,19.06,1.1933,1.2544,63.882,0.38,0.79,120.39,124.95,73.33,True,no,-0.114849841678942,0.176722578393473,0.747087907483449,-0.291572420072415
97,Aragonite,0.78662,1.0008,2,325.93,19.6,1.5124,2.2837,102.36,0.28,0.7,93.58,21.26,97.07,True,no,-0.240009993424111,0.413697793034641,0.520113726527374,-0.653707786458751
98,Aragonite,0.73417,0.96684,1,353.79,19.43,1.35,1.9498,93.18,0.4,0.74,153.68,78.43,40.12,True,no,-0.3090146695551,0.300104592450338,0.54382962962963,-0.609119262005438
99,Aragonite,0.73417,0.96684,0,669.29,18.5,1.2867,1.7711,143.29,0.29,0.74,19.78,73.3,64.07,True,no,-0.3090146695551,0.252080801208807,0.570583663635657,-0.561095470763907
100,Aragonite,2.9367,1.9337,5,135.07,21.59,2.2139,1.3108,119.8,0.84,1.85,121.47,99.3,64.6,True,no,1.07728650195336,0.794755666148042,1.32648267762772,0.282530835805315
101,Aragonite,0.57685,0.85701,4,163.64,20.82,1.6431,3.6757,92.34,0.58,1.06,169.96,168.95,74.66,True,no,-0.550173011608838,0.496584701475648,0.351074189032926,-1.04675771308449
102,Aragonite,1.0488,1.1556,4,340.75,20.35,1.5731,1.853,88.645,0.71,2.24,159.35,112.21,179.57,True,no,0.047646653467353,0.453048194846322,0.666709045833068,-0.405401541378969
103,Aragonite,0.68173,0.93167,1,358,19.38,1.0584,1.2906,25.315,0.27,0.29,164.68,114.35,162.57,True,no,-0.383121593953716,0.0567583338186089,0.644113756613757,-0.439879927772325
104,Aragonite,0.62929,0.89512,3,121.83,20.67,1.1218,1.5705,115.54,0.68,1.09,103.79,111.14,62.12,True,no,-0.463163079247683,0.114934538092099,0.560964521305045,-0.578097617339782
105,Aragonite,1.4683,1.3673,4,143.14,23.46,2.3016,2.8335,88.434,0.45,0.7,113.05,98.05,59.72,True,no,0.384105268986755,0.833604533255201,0.637947514772332,-0.449499264268446
106,Aragonite,0.99638,1.1263,3,292.42,21.32,1.4551,1.669,79.722,0.38,0.94,36.87,98.67,163.59,True,no,-0.00362656805569865,0.375074626784096,0.684750188990447,-0.378701194839795
107,Aragonite,2.2025,1.6746,2,382.1,24.57,2.8012,2.7981,76.339,0.92,1.65,176.66,32.68,172.66,True,no,0.789593078828198,1.03004789679923,0.786270169927174,-0.240454817971028
108,Aragonite,0.99638,1.1263,1,58.95,21.74,1.2133,1.1604,53.898,0.78,2.41,70.78,38.69,78.89,True,no,-0.00362656805569865,0.19334392007569,0.821214868540345,-0.196970488131389
109,Aragonite,1.2586,1.2659,3,62.67,23.08,1.5885,1.5747,85.543,0.66,0.96,135.76,75.85,38.79,True,no,0.229999992110696,0.462790174727434,0.792319798552093,-0.232790182616738
110,Aragonite,0.52441,0.81713,4,125,21.5,1.0442,1.633,63.435,0.41,1.53,135.73,54.16,57.29,True,no,-0.645481457861749,0.043251041994315,0.502212219881249,-0.688732499856064
111,Aragonite,0.52441,0.81713,3,140,21.2,0.91901,1.2649,90,0.7,1.15,109.09,105.66,60.49,True,no,-0.645481457861749,-0.0844582752928337,0.570624911589645,-0.561023182568915
112,Aragonite,0.57685,0.85701,5,147.18,22.18,0.95242,1.235,72.857,0.49,1.03,120.27,100.37,68.81,True,no,-0.550173011608838,-0.048749165009909,0.605667667625627,-0.501423846598929
113,Aragonite,0.52441,0.81713,4,150.2,21.5,0.95618,1.3693,90,0,0,153.13,100.82,86.44,True,no,-0.645481457861749,-0.0448090991352127,0.548442761823088,-0.600672358726536
114,Aragonite,1.7306,1.4844,3,192.64,22.45,1.5913,1.1493,15.695,0.78,1.37,164.53,136.61,89.45,True,no,0.548468169190501,0.464551292234001,1.08753849054232,0.0839168769565001
115,Aragonite,1.1537,1.212,2,294.91,23.55,1.7477,2.0793,66.343,0.78,1.56,179.46,23.76,42.95,True,no,0.142974168951107,0.558300637790178,0.660124735366482,-0.415326468839071
116,Aragonite,0.62929,0.89512,2,316.67,21.67,1.178,1.7321,45,0.32,1.08,8.46,120.96,159.49,True,no,-0.463163079247683,0.163818085229395,0.534202037351443,-0.626981164477078
117,Aragonite,1.2586,1.2659,3,319.96,22.92,1.6205,1.6387,56.716,0.76,1.67,94.08,19.58,104.43,True,no,0.229999992110696,0.482734743599465,0.776673866090713,-0.252734751488769
118,Aragonite,1.0488,1.1556,4,161.05,23.85,1.7965,2.4169,92.92,0.49,1.77,52.9,72.94,74.61,True,no,0.047646653467353,0.585840327571436,0.583801836905093,-0.538193674104083
119,Aragonite,0.62929,0.89512,1,310.08,23,0.992,1.2282,63.813,0.38,1.48,81.09,15.2,116.03,True,no,-0.463163079247683,-0.00803217169726427,0.634364919354839,-0.455130907550418
120,Aragonite,0.52441,0.81713,2,342.7,22.6,0.82961,1.0308,63.435,0.3,1.48,72.12,90.12,36.69,True,no,-0.645481457861749,-0.18679956813754,0.63211629560878,-0.458681889724209
121,Aragonite,2.5696,1.8088,3,119.98,27.1,2.5372,1.9676,104.47,0.88,2.28,82.85,50.09,72.81,True,no,0.943750244770305,0.931061110777605,1.01276998265805,0.0126891339927005
122,Aragonite,1.1013,1.1841,3,178.05,25.57,1.7938,2.2949,84.379,0.42,0.84,155.56,129.06,71.35,True,no,0.0964913001887612,0.584336274701766,0.613948043260118,-0.487844974513005
123,Aragonite,2.1501,1.6546,4,198.63,26.54,2.5319,2.3417,96.238,1.04,1.75,98.44,102.28,51.5,True,no,0.765514352685846,0.928970009031228,0.849204154982424,-0.163455656345382
