Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
216	Aragonite	1.2493	1.2612	3	195.31	104.77	2.3151	3.3694	99.55	1.07	2.34	89.14	139.22	155.28	True	no
217	Aragonite	0.961	1.1062	4	93.10	103.40	1.2927	1.3657	137.75	0.43	0.84	26.35	76.98	178.48	True	no
218	Aragonite	3.1713	2.0094	6	128.55	105.12	2.5783	1.6463	79.691	0.91	1.60	155.14	60.41	58.20	True	no
219	Aragonite	1.0571	1.1601	3	132.64	103.55	1.2458	1.1531	71.565	0.61	1.29	25.11	78.01	129.99	True	no
220	Aragonite	1.4415	1.3548	3	197.67	104.53	2.0246	2.2333	121.93	0.55	0.71	113.25	79.11	166.45	True	no
221	Aragonite	2.4025	1.749	7	98.72	106.24	2.6387	2.2762	134.62	1.07	2.32	14.41	80.13	157.16	True	no
222	Aragonite	4.1323	2.2938	3	186.79	107.95	2.7207	1.4069	116.21	0.76	1.36	100.73	115.07	87.80	True	no
223	Aragonite	20.277	5.0811	5	220.55	113.35	9.982	3.8594	144.77	1.67	2.89	46.59	145.43	108.23	True	no
224	Aragonite	1.6337	1.4423	1	20.94	105.76	1.5038	1.0871	149.04	0.24	1.76	175.31	56.31	16.19	True	no
225	Aragonite	2.0181	1.603	4	103.86	106.19	1.6542	1.065	20.301	0.50	1.80	21.29	78.56	178.64	True	no
226	Aragonite	0.961	1.1062	2	112.00	105.50	1.4135	1.633	63.435	0.61	0.61	71.66	137.31	41.73	True	no
227	Aragonite	4.7089	2.4486	6	138.90	110.90	3.7155	2.3025	78.578	1.40	3.18	47.12	78.74	9.24	True	no
228	Aragonite	2.5947	1.8176	5	144.74	107.70	2.9393	2.6151	115.21	0.73	1.64	179.16	127.86	111.16	True	no
229	Aragonite	6.0543	2.7764	4	34.32	109.16	3.9431	2.017	169.51	0.80	1.74	134.26	85.42	33.20	True	no
230	Aragonite	1.5376	1.3992	4	94.31	106.94	2.004	2.0514	29.954	0.88	1.84	61.36	24.90	124.97	True	no
231	Aragonite	5.6699	2.6868	7	204.97	110.07	3.7365	1.9339	116.08	1.48	3.73	29.65	28.10	107.04	True	no
