Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
949	Aragonite	1.98	1.5878	5	334.59	147.36	2.6499	2.7855	109.12	1.06	2.39	163.68	105.87	106.15	True	no
950	Aragonite	2.25	1.6926	3	11.64	147.40	2.3596	1.9435	168.54	0.89	1.61	131.92	55.71	39.88	True	no
951	Aragonite	1.08	1.1726	3	62.75	146.67	1.2563	1.1477	109.81	0.60	0.91	111.84	114.44	95.61	True	no
952	Aragonite	0.9	1.0705	3	94.80	146.70	1.3696	1.637	108.22	0.47	1.36	178.71	68.18	140.41	True	no
953	Aragonite	2.52	1.7912	4	169.89	148.46	2.3216	1.6799	50.809	1.59	2.84	57.38	117.73	75.58	True	no
954	Aragonite	4.32	2.3453	7	177.02	149.02	3.5026	2.2305	39.631	1.55	3.70	8.72	97.91	64.04	True	no
955	Aragonite	2.52	1.7912	5	216.36	148.04	2.3203	1.6779	55.096	0.76	2.44	86.41	136.27	92.99	True	no
956	Aragonite	6.3	2.8322	6	236.73	149.89	3.8421	1.8403	45.374	1.59	2.87	13.81	108.68	51.67	True	no
957	Aragonite	2.61	1.823	3	360.59	147.66	2.3921	1.7218	176.47	0.97	1.58	156.05	79.06	145.29	True	no
958	Aragonite	1.26	1.2666	4	19.00	148.07	1.8527	2.1397	66.712	0.64	1.37	74.32	72.71	109.08	True	no
959	Aragonite	2.34	1.7261	4	25.62	147.85	1.9925	1.3325	16.774	0.56	1.19	178.31	101.80	149.37	True	no
960	Aragonite	1.08	1.1726	4	29.83	148.42	1.5855	1.8281	63.435	0.46	1.05	118.84	147.18	109.91	True	no
961	Aragonite	2.61	1.823	5	43.69	150.93	3.1495	2.9849	95.835	0.50	1.11	21.25	138.68	110.42	True	no
962	Aragonite	0.9	1.0705	4	60.10	147.60	1.885	3.1008	128.75	0.54	1.10	49.16	87.79	88.89	True	no
963	Aragonite	5.85	2.7292	6	122.37	150.05	2.9104	1.1372	5.2042	1.12	2.46	17.83	144.39	8.82	True	no
964	Aragonite	2.97	1.9446	6	155.61	149.27	2.2084	1.2897	101.12	0.89	2.09	121.95	119.31	109.67	True	no
965	Aragonite	0.9	1.0705	3	204.80	146.90	1.2312	1.3229	153.43	0.57	0.84	47.63	144.99	59.62	True	no
966	Aragonite	3.42	2.0867	6	243.21	150.47	2.5227	1.4615	71.634	0.83	1.91	83.66	129.53	89.07	True	no
967	Aragonite	23.49	5.4689	8	289.06	153.93	7.6445	1.9539	174.75	1.77	5.38	99.60	161.14	108.38	True	no
968	Aragonite	1.53	1.3957	2	299.24	147.65	1.713	1.5063	172.94	0.47	1.18	171.70	20.95	11.27	True	no
969	Aragonite	1.8	1.5139	4	331.60	149.80	2.3558	2.4216	96.283	1.21	2.30	43.99	96.56	67.42	True	no
970	Aragonite	1.53	1.3957	2	343.06	148.00	1.717	1.5134	162.34	0.75	1.40	25.38	140.23	58.66	True	no
971	Aragonite	1.98	1.5878	3	366.91	147.95	1.813	1.3039	49.417	0.79	1.14	120.51	147.37	118.57	True	no
972	Aragonite	1.44	1.3541	5	21.25	149.81	1.5532	1.3158	68.996	0.56	1.32	142.66	66.03	81.49	True	no
973	Aragonite	1.26	1.2666	4	36.50	148.79	1.8048	2.0304	154.28	0.82	1.56	73.62	135.67	67.25	True	no
974	Aragonite	4.59	2.4175	8	59.47	150.63	3.2879	1.8498	168.51	0.80	1.42	99.00	72.20	67.67	True	no
975	Aragonite	1.71	1.4755	4	149.53	148.79	1.7945	1.479	33.135	0.72	1.16	132.64	120.13	116.92	True	no
976	Aragonite	3.87	2.2198	7	203.63	152.60	3.734	2.8297	47.985	0.71	1.62	132.76	136.19	130.22	True	no
977	Aragonite	0.9	1.0705	3	212.30	147.90	1.4454	1.8232	3.5625	0.63	1.15	174.66	92.16	147.00	True	no
978	Aragonite	1.62	1.4362	5	220.00	149.83	1.6959	1.3943	58.99	0.77	1.63	136.82	139.48	132.11	True	no
979	Aragonite	7.38	3.0654	8	252.45	151.22	3.9091	1.6263	156.17	1.04	2.29	77.90	36.99	48.59	True	no
980	Aragonite	3.78	2.1938	6	34.14	153.14	2.6846	1.4975	123.79	1.13	2.98	40.33	102.04	107.67	True	no
981	Aragonite	1.62	1.4362	2	66.39	150.94	1.7173	1.4298	85.103	0.70	1.47	177.90	94.65	111.10	True	no
982	Aragonite	3.87	2.2198	5	72.33	151.72	2.4474	1.2156	96.62	1.12	2.83	120.74	140.17	94.16	True	no
