Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
3295	Aragonite	1.536	1.3985	2	283.60	341.33	1.7514	1.5685	51.567	0.56	1.03	89.83	145.28	42.41	True	no
3296	Aragonite	11.162	3.7698	6	302.70	348.63	7.4823	3.9395	117.02	1.70	3.48	85.22	24.67	16.69	True	no
3297	Aragonite	3.8912	2.2259	5	369.95	341.84	3.1465	1.9982	156.11	0.83	1.90	119.91	36.07	67.82	True	no
3298	Aragonite	2.7648	1.8762	5	406.96	342.07	2.3368	1.5513	128.31	0.64	1.35	101.98	79.55	28.79	True	no
3299	Aragonite	5.7344	2.7021	9	424.70	343.16	3.1763	1.3818	133.86	0.74	1.62	103.27	134.17	104.10	True	no
3300	Aragonite	4.1984	2.312	4	449.71	344.51	2.9477	1.6255	87.735	0.57	1.67	14.82	122.53	78.64	True	no
3301	Aragonite	5.7344	2.7021	7	491.75	346.21	4.4516	2.7142	84.807	0.62	1.47	121.44	36.09	1.01	True	no
3302	Aragonite	1.2288	1.2508	4	542.83	341.42	1.8444	2.1743	72.218	0.55	1.17	121.44	30.14	97.15	True	no
3303	Aragonite	3.6864	2.1665	3	90.39	345.28	3.8741	3.1977	125.74	1.93	4.23	59.52	34.18	96.10	True	no
3304	Aragonite	1.8432	1.5319	2	139.72	342.11	1.6462	1.1547	175.96	0.75	1.64	130.59	72.86	49.76	True	no
3305	Aragonite	2.3552	1.7317	3	162.48	342.52	2.3195	1.7941	67.698	0.81	1.78	125.31	60.31	69.10	True	no
3306	Aragonite	2.6624	1.8412	3	183.69	343.04	2.2323	1.47	47.256	1.18	1.93	176.22	156.63	115.09	True	no
3307	Aragonite	3.072	1.9777	5	341.10	342.90	2.0997	1.1272	62.296	0.93	1.58	35.85	59.73	163.78	True	no
3308	Aragonite	1.1264	1.1976	4	387.36	342.45	2.2184	3.4314	117.28	1.12	2.02	131.09	133.53	43.50	True	no
3309	Aragonite	1.024	1.1418	3	416.70	341.10	2.3063	4.0795	152.91	0.54	0.93	37.30	125.93	132.25	True	no
3310	Aragonite	1.6384	1.4443	3	437.06	342.38	1.8664	1.6698	99.603	0.55	0.68	73.23	125.06	128.19	True	no
3311	Aragonite	1.6384	1.4443	4	464.56	341.88	1.5965	1.2218	58.097	0.53	1.49	167.23	124.69	125.67	True	no
3312	Aragonite	1.9456	1.5739	4	518.37	341.84	2.0753	1.7385	126.77	0.87	2.52	133.48	57.99	144.38	True	no
3313	Aragonite	2.6624	1.8412	5	521.54	344.50	3.2841	3.1816	77.539	0.53	1.17	139.84	19.38	102.95	True	no
3314	Aragonite	5.9392	2.7499	6	537.84	344.64	3.7852	1.8947	64.008	1.05	3.68	58.50	97.50	170.11	True	no
3315	Aragonite	2.1504	1.6547	5	102.00	343.43	1.8529	1.254	143.44	0.76	1.59	121.72	86.88	51.81	True	no
3316	Aragonite	1.4336	1.351	4	155.00	344.29	2.603	3.7121	121.37	0.47	0.99	21.07	30.58	139.64	True	no
3317	Aragonite	1.6384	1.4443	4	205.56	342.13	1.9726	1.8653	18.109	0.86	2.12	42.79	92.54	115.80	True	no
3318	Aragonite	1.536	1.3985	4	231.93	342.53	2.3244	2.7626	20.759	0.66	0.83	19.24	101.11	2.01	True	no
3319	Aragonite	2.1504	1.6547	5	316.38	346.76	3.7367	5.0998	87.265	1.34	1.98	20.76	123.13	166.35	True	no
3320	Aragonite	1.2288	1.2508	4	348.50	342.50	1.2508	1	90	0.51	0.97	7.78	168.50	109.43	True	no
3321	Aragonite	1.1264	1.1976	4	351.36	342.55	1.3789	1.3258	97.413	0.48	1.00	83.52	60.03	167.56	True	no
3322	Aragonite	2.2528	1.6936	5	364.91	343.77	2.1124	1.5557	101.95	0.45	1.17	176.66	80.18	34.37	True	no
3323	Aragonite	1.536	1.3985	3	376.27	343.40	1.6704	1.4268	109.76	0.51	0.95	70.49	108.47	99.12	True	no
3324	Aragonite	9.4208	3.4634	10	398.77	351.71	7.8375	5.121	113.77	1.02	2.58	115.82	82.73	135.33	True	no
3325	Aragonite	5.8368	2.7261	5	416.26	345.42	3.209	1.3857	134.86	0.65	1.77	170.72	94.28	108.36	True	no
3326	Aragonite	1.4336	1.351	3	454.00	342.86	1.8076	1.7901	163.36	0.50	0.99	148.12	103.56	38.97	True	no
3327	Aragonite	1.9456	1.5739	5	458.58	343.47	1.6638	1.1175	79.185	0.68	1.22	104.58	54.82	48.97	True	no
3328	Aragonite	4.608	2.4222	4	501.18	343.80	2.951	1.4843	153.68	0.87	2.17	123.98	88.76	2.59	True	no
3329	Aragonite	2.6624	1.8412	4	97.04	344.42	2.257	1.5027	168.24	1.76	3.90	59.77	55.40	71.12	True	no
3330	Aragonite	1.4336	1.351	3	165.36	344.29	2.101	2.4184	60.436	0.83	1.32	50.22	59.60	110.45	True	no
3331	Aragonite	3.3792	2.0743	4	215.91	344.76	2.1348	1.0592	173.29	0.82	2.06	42.36	90.08	117.66	True	no
3332	Aragonite	23.757	5.4998	15	345.02	351.50	8.283	2.2682	29.733	0.88	2.24	39.51	127.10	178.33	True	no
3333	Aragonite	1.8432	1.5319	5	399.67	344.94	2.4636	2.5862	103.22	0.66	1.44	139.19	63.62	29.72	True	no
3334	Aragonite	2.4576	1.7689	5	403.50	344.38	2.0396	1.3294	146.27	0.79	2.14	163.28	110.06	13.02	True	no
3335	Aragonite	1.4336	1.351	4	410.21	345.14	2.4041	3.1665	85.287	0.87	1.48	127.78	41.97	115.51	True	no
3336	Aragonite	10.752	3.7	8	469.91	349.89	5.9686	2.6022	113.77	0.56	1.48	78.68	166.27	143.76	True	no
3337	Aragonite	3.1744	2.0104	6	516.00	345.68	2.493	1.5377	126.95	0.54	1.24	22.56	150.49	87.61	True	no
3338	Aragonite	4.4032	2.3678	5	525.70	348.88	4.1195	3.027	79.47	1.04	1.85	55.53	96.83	170.56	True	no
3339	Aragonite	2.4576	1.7689	7	129.21	344.54	2.9974	2.8712	177.47	1.00	2.04	139.65	80.19	42.55	True	no
3340	Aragonite	4.096	2.2837	6	136.75	346.13	2.6709	1.3679	27.02	0.95	2.31	77.14	42.24	73.24	True	no
3341	Aragonite	1.024	1.1418	1	147.60	344.90	1.3344	1.3657	132.25	0.24	0.40	48.57	50.28	96.14	True	no
3342	Aragonite	3.584	2.1362	8	208.91	346.14	3.3454	2.4526	152.53	1.43	2.50	102.96	66.95	102.77	True	no
3343	Aragonite	2.048	1.6148	4	314.15	348.10	3.4052	4.4467	74.477	1.22	1.60	35.33	60.88	166.11	True	no
3344	Aragonite	2.3552	1.7317	5	391.74	345.96	2.4506	2.0027	127.58	0.92	1.29	124.30	73.43	97.90	True	no
3345	Aragonite	2.1504	1.6547	5	484.29	345.14	2.8304	2.9259	160.45	1.45	2.65	84.00	112.65	53.63	True	no
3346	Aragonite	5.0176	2.5276	5	509.04	347.51	3.4616	1.8756	145.64	0.75	1.43	125.52	152.54	3.26	True	no
3347	Aragonite	4.608	2.4222	6	120.38	347.84	3.2112	1.7576	160.71	0.77	1.55	166.00	70.33	11.11	True	no
3348	Aragonite	1.4336	1.351	2	121.86	345.36	2.1286	2.4823	145.84	0.93	1.55	116.35	11.50	54.61	True	no
3349	Aragonite	2.6624	1.8412	3	269.19	346.92	2.2107	1.4417	47.517	1.34	2.62	89.90	145.17	46.91	True	no
3350	Aragonite	1.7408	1.4888	2	291.82	346.65	1.5874	1.1369	146.87	0.66	1.78	17.13	32.26	43.05	True	no
3351	Aragonite	1.024	1.1418	2	311.50	345.50	1.3287	1.354	71.565	0.50	1.18	22.05	123.43	166.06	True	no
3352	Aragonite	1.024	1.1418	2	357.00	345.50	1.4591	1.633	116.57	0.73	1.23	46.05	10.81	173.80	True	no
3353	Aragonite	2.56	1.8054	3	380.80	346.12	1.879	1.0832	168.25	0.74	1.41	63.38	66.35	93.21	True	no
3354	Aragonite	5.8368	2.7261	4	442.30	349.05	3.2431	1.4153	118.94	1.41	2.82	131.19	115.65	162.46	True	no
3355	Aragonite	3.9936	2.255	6	462.38	347.59	2.8093	1.5521	120.84	0.85	1.91	65.30	127.73	147.93	True	no
3356	Aragonite	2.048	1.6148	6	106.55	348.25	2.4926	2.3827	115.41	0.96	2.01	66.15	48.43	100.59	True	no
3357	Aragonite	2.048	1.6148	3	109.85	346.30	2.1209	1.725	174.25	0.75	2.13	140.09	66.16	55.67	True	no
3358	Aragonite	1.3312	1.3019	4	167.92	346.46	1.3861	1.1336	30.595	0.54	1.43	32.63	69.77	16.64	True	no
3359	Aragonite	1.024	1.1418	2	187.60	346.30	1.6072	1.9813	53.845	0.85	0.98	38.40	67.78	18.41	True	no
3360	Aragonite	6.9632	2.9776	7	186.69	351.32	4.9956	2.8148	40.2	0.81	1.51	20.74	29.75	20.32	True	no
3361	Aragonite	1.1264	1.1976	3	200.18	346.64	1.6117	1.8113	127.87	0.73	1.70	50.75	85.65	114.32	True	no
3362	Aragonite	1.3312	1.3019	5	370.15	347.08	1.8551	2.0304	149.95	0.87	1.00	64.18	114.20	66.42	True	no
3363	Aragonite	1.536	1.3985	5	454.47	346.47	1.9013	1.8484	29.849	0.46	0.83	3.21	84.10	102.23	True	no
3364	Aragonite	2.6624	1.8412	5	531.50	349.00	3.5396	3.696	48.679	0.71	1.51	84.79	147.91	43.77	True	no
3365	Aragonite	1.536	1.3985	5	543.07	346.60	1.9863	2.0175	177.73	0.58	0.92	45.61	105.38	25.25	True	no
3366	Aragonite	1.024	1.1418	3	98.30	347.60	1.6745	2.1506	138.37	0.63	1.35	6.27	84.62	130.41	True	no
3367	Aragonite	1.1264	1.1976	6	102.55	347.45	1.4356	1.437	45	0.60	0.86	9.66	72.78	124.59	True	no
3368	Aragonite	2.9696	1.9445	4	114.59	348.86	2.0279	1.0877	144.27	0.96	2.82	178.81	133.09	13.95	True	no
3369	Aragonite	1.2288	1.2508	4	128.25	347.75	1.366	1.1926	100.28	0.81	1.13	32.08	71.59	28.22	True	no
3370	Aragonite	1.2288	1.2508	3	131.33	347.67	1.6462	1.7321	135	0.67	1.07	6.15	54.02	126.62	True	no
3371	Aragonite	1.8432	1.5319	4	173.61	347.67	2.057	1.8029	153.29	0.49	1.02	48.15	64.88	21.45	True	no
3372	Aragonite	2.4576	1.7689	3	197.17	348.42	1.9937	1.2703	123.82	0.54	1.39	11.86	56.44	129.95	True	no
3373	Aragonite	1.3312	1.3019	2	260.08	347.62	1.8077	1.9279	111.22	0.69	1.73	153.89	143.76	56.97	True	no
3374	Aragonite	12.083	3.9223	8	290.58	352.75	4.8333	1.5184	3.0219	1.21	2.49	55.78	88.45	21.71	True	no
3375	Aragonite	2.2528	1.6936	5	407.59	348.77	1.8853	1.2392	99.827	0.82	4.12	169.92	119.66	30.82	True	no
3376	Aragonite	9.5232	3.4821	8	424.57	352.92	4.6098	1.7526	115.77	1.01	2.54	8.43	96.77	89.63	True	no
3377	Aragonite	2.6624	1.8412	3	475.31	351.65	3.2734	3.1609	113.48	1.17	2.40	119.56	89.25	0.81	True	no
3378	Aragonite	1.8432	1.5319	3	483.78	351.39	3.5041	5.2321	114.71	0.52	1.55	120.00	34.33	3.74	True	no
3379	Aragonite	1.9456	1.5739	2	496.79	349.00	2.0974	1.7759	88.446	0.72	1.37	120.82	35.64	1.66	True	no
3380	Aragonite	1.1264	1.1976	3	139.73	348.73	1.4077	1.3817	135	0.64	1.35	174.74	120.22	47.93	True	no
3381	Aragonite	1.2288	1.2508	3	154.58	348.83	1.3236	1.1198	93.456	0.76	1.31	12.18	43.48	125.54	True	no
3382	Aragonite	2.2528	1.6936	3	182.50	349.27	2.2139	1.7088	44.26	0.41	0.92	61.15	152.89	24.19	True	no
3383	Aragonite	1.024	1.1418	3	207.80	348.50	1.3362	1.3693	90	0.92	1.18	151.54	93.99	79.40	True	no
3384	Aragonite	1.024	1.1418	4	217.70	348.50	1.5035	1.7339	52.466	0.47	0.60	27.92	163.85	8.68	True	no
3385	Aragonite	3.584	2.1362	5	261.57	351.34	2.7695	1.6808	83.895	1.42	2.01	75.40	49.17	38.73	True	no
3386	Aragonite	9.6256	3.5008	5	280.38	352.38	3.6763	1.1028	95.399	1.57	3.55	86.07	146.64	38.06	True	no
3387	Aragonite	4.8128	2.4754	4	330.72	350.30	3.1372	1.6061	14.865	0.69	2.10	141.15	14.22	65.92	True	no
3388	Aragonite	2.1504	1.6547	3	339.71	348.71	2.0244	1.4968	23.487	0.59	1.53	44.24	64.25	0.22	True	no
3389	Aragonite	5.632	2.6779	6	378.80	350.47	3.7421	1.9528	147.92	0.93	2.35	85.33	66.24	32.71	True	no
3390	Aragonite	6.7584	2.9334	4	389.86	352.23	3.6363	1.5366	120.7	0.60	1.77	162.29	48.49	114.99	True	no
3391	Aragonite	1.6384	1.4443	4	457.00	349.38	1.9937	1.9054	102.68	0.73	1.02	50.48	163.57	93.12	True	no
3392	Aragonite	1.9456	1.5739	3	485.16	349.89	2.9544	3.5235	116.97	0.67	1.60	126.40	150.51	3.69	True	no
3393	Aragonite	1.9456	1.5739	4	501.63	348.37	2.2692	2.0786	172.63	0.69	1.03	163.96	85.17	139.63	True	no
3394	Aragonite	1.3312	1.3019	4	104.38	350.62	1.7737	1.8561	105.8	0.70	1.52	137.51	68.91	57.15	True	no
3395	Aragonite	1.3312	1.3019	2	148.54	349.62	1.5926	1.4965	39.265	0.41	0.41	37.98	121.44	93.19	True	no
3396	Aragonite	1.4336	1.351	4	168.71	349.57	1.719	1.6188	30.525	0.46	0.71	33.09	68.28	13.74	True	no
3397	Aragonite	1.9456	1.5739	6	203.74	349.68	2.2255	1.9994	3.0936	0.48	1.34	43.13	39.18	107.01	True	no
3398	Aragonite	2.1504	1.6547	5	256.95	352.00	2.4226	2.1435	118.24	0.89	1.84	125.20	132.71	39.93	True	no
3399	Aragonite	2.8672	1.9107	2	296.29	350.93	2.3654	1.5326	59.075	0.84	1.49	89.81	145.02	38.54	True	no
3400	Aragonite	4.4032	2.3678	5	360.63	352.14	3.2372	1.8693	70.897	0.57	2.20	100.03	76.15	144.36	True	no
3401	Aragonite	1.536	1.3985	3	369.20	350.33	1.5433	1.2178	165.24	0.82	1.42	26.57	122.23	26.18	True	no
3402	Aragonite	3.584	2.1362	5	396.66	354.26	4.4495	4.3385	105.52	1.12	1.66	66.20	124.07	123.36	True	no
3403	Aragonite	2.6624	1.8412	5	403.23	350.62	2.529	1.8868	104.13	0.78	1.67	170.16	119.89	30.71	True	no
3404	Aragonite	3.8912	2.2259	5	430.13	351.08	2.6724	1.4415	127	0.83	2.24	162.92	64.09	17.49	True	no
3405	Aragonite	4.8128	2.4754	4	538.94	352.13	2.8914	1.3643	57.107	1.17	2.39	92.51	82.36	53.09	True	no
3406	Aragonite	20.685	5.1319	7	545.70	353.77	4.3907	1.464	43.674	1.51	4.51	106.79	156.38	68.53	True	edge
3407	Aragonite	1.2288	1.2508	4	101.33	351.08	1.5636	1.5626	129.39	0.47	0.81	66.35	51.11	104.93	True	no
3408	Aragonite	1.9456	1.5739	4	142.68	352.11	1.9627	1.555	73.455	1.05	2.13	115.24	79.53	37.62	True	no
3409	Aragonite	1.3312	1.3019	5	152.62	351.08	1.8849	2.0962	120.15	0.85	1.00	175.76	6.90	20.06	True	no
3410	Aragonite	6.7584	2.9334	6	160.77	352.23	3.7614	1.6442	157.15	0.98	2.98	151.14	83.28	23.33	True	no
3411	Aragonite	1.2288	1.2508	3	172.50	350.50	1.2508	1	90	0.31	0.57	51.82	137.52	64.31	True	no
3412	Aragonite	10.24	3.6108	7	212.24	355.10	4.1787	1.3393	77.643	0.66	2.96	116.44	89.68	64.43	True	no
3413	Aragonite	2.8672	1.9107	5	271.61	352.64	2.6584	1.9359	85.393	1.39	3.34	109.64	92.77	29.80	True	no
3414	Aragonite	3.3792	2.0743	5	411.00	353.42	2.9115	1.9703	90.398	1.02	2.12	80.23	76.03	143.30	True	no
3415	Aragonite	1.7408	1.4888	4	414.94	352.59	2.4826	2.7808	96.958	0.66	1.97	70.03	52.16	51.32	True	no
3416	Aragonite	9.216	3.4255	10	451.50	354.80	3.7449	1.1952	84.448	0.97	1.96	132.12	115.78	162.66	True	no
3417	Aragonite	6.9632	2.9776	7	464.13	354.74	4.6594	2.4487	132.86	0.76	1.58	128.76	114.11	160.73	True	no
3418	Aragonite	11.059	3.7525	9	511.05	355.64	5.9792	2.5389	29.033	0.97	2.42	54.92	79.64	75.40	True	no
3419	Aragonite	6.3488	2.8432	7	519.19	357.13	5.6764	3.9861	74.881	1.79	2.77	42.91	93.49	21.04	True	no
3420	Aragonite	3.584	2.1362	4	112.49	353.11	2.8299	1.755	162.37	0.69	1.11	141.59	65.79	53.26	True	no
3421	Aragonite	11.469	3.8213	8	124.28	355.27	4.5797	1.4363	24.402	0.83	2.24	130.75	21.83	68.45	True	no
3422	Aragonite	1.2288	1.2508	4	137.50	352.17	1.7754	2.0147	56.31	0.67	1.09	73.95	66.22	174.28	True	no
3423	Aragonite	3.6864	2.1665	3	218.56	355.28	3.8254	3.1178	70.321	1.07	2.30	121.23	79.50	51.38	True	no
3424	Aragonite	14.643	4.3179	9	240.05	354.17	7.221	2.7967	14.801	0.99	2.57	17.02	100.96	2.17	True	no
3425	Aragonite	2.3552	1.7317	4	268.22	353.61	3.3021	3.6362	96.736	0.67	1.21	77.84	49.81	35.73	True	no
3426	Aragonite	1.1264	1.1976	5	372.73	351.64	1.6421	1.8802	76.717	0.62	1.79	58.48	73.86	21.52	True	no
3427	Aragonite	1.8432	1.5319	4	419.22	352.94	2.0667	1.82	118.82	0.31	0.59	60.97	84.26	120.99	True	no
3428	Aragonite	6.5536	2.8887	7	436.50	355.55	4.1764	2.0903	45.795	0.87	2.84	64.81	73.30	131.44	True	no
3429	Aragonite	2.9696	1.9445	5	446.17	354.66	2.4002	1.5236	75.198	0.77	1.83	47.62	163.73	87.72	True	no
3430	Aragonite	6.144	2.7969	7	490.52	357.17	4.3375	2.4051	125.93	0.76	1.79	119.07	152.39	0.46	True	no
3431	Aragonite	3.072	1.9777	5	497.40	354.63	3.6702	3.4438	131.61	0.68	1.86	124.10	152.56	2.68	True	no
3432	Aragonite	3.9936	2.255	3	503.62	353.26	2.8894	1.6418	12.193	1.00	2.05	44.74	126.84	50.38	True	no
3433	Aragonite	16.179	4.5387	7	528.85	362.42	8.1346	3.2123	61.008	1.10	2.96	57.81	97.12	170.24	True	no
3434	Aragonite	1.2288	1.2508	1	95.67	352.33	1.6462	1.7321	135	0.11	0.63	111.57	82.39	27.65	True	no
3435	Aragonite	1.8432	1.5319	4	170.17	353.22	1.7016	1.2338	162.31	0.34	0.92	63.70	127.57	26.83	True	no
3436	Aragonite	7.8848	3.1685	6	174.75	357.35	3.5031	1.2224	39.076	0.96	1.99	18.92	29.59	23.68	True	no
3437	Aragonite	2.7648	1.8762	3	193.07	353.85	1.9903	1.1253	15.381	0.50	1.08	27.97	145.44	8.01	True	no
3438	Aragonite	3.8912	2.2259	3	200.42	354.63	2.4484	1.21	24.843	0.68	1.49	68.36	41.42	86.90	True	no
3439	Aragonite	3.8912	2.2259	5	253.53	355.87	3.6136	2.6357	110.32	0.73	2.42	88.26	78.54	27.16	True	no
3440	Aragonite	3.584	2.1362	6	319.31	353.97	3.0574	2.0485	31.58	0.79	3.06	18.99	109.98	162.98	True	no
3441	Aragonite	12.493	3.9883	10	324.84	358.97	4.7527	1.4201	62.404	0.98	2.83	52.25	123.56	11.52	True	no
3442	Aragonite	1.9456	1.5739	4	351.47	353.58	2.2986	2.1329	48.334	0.89	1.20	45.96	10.60	173.30	True	no
3443	Aragonite	10.138	3.5927	8	365.77	357.74	4.8864	1.8498	73.319	0.92	1.87	121.63	155.98	108.41	True	no
3444	Aragonite	1.024	1.1418	2	384.20	352.70	1.461	1.637	71.778	0.47	1.14	64.65	123.74	160.71	True	no
3445	Aragonite	2.1504	1.6547	4	133.24	354.62	1.7525	1.1218	104.04	0.83	2.21	111.82	74.66	87.00	True	no
3446	Aragonite	1.6384	1.4443	4	147.38	353.81	1.8372	1.6181	58.039	0.77	2.04	31.90	95.63	141.62	True	no
3447	Aragonite	1.8432	1.5319	3	264.28	354.83	2.218	2.0962	83.227	0.95	1.88	153.26	144.60	55.05	True	no
3448	Aragonite	1.2288	1.2508	4	314.67	353.67	1.6462	1.7321	45	0.48	1.20	133.08	15.89	73.16	True	no
3449	Aragonite	1.3312	1.3019	2	434.38	353.46	1.5926	1.4965	50.735	0.49	0.93	71.74	70.36	129.05	True	no
3450	Aragonite	2.2528	1.6936	2	100.73	355.36	1.967	1.3489	113.83	0.44	0.87	179.55	88.10	156.71	True	no
3451	Aragonite	1.1264	1.1976	3	166.73	354.73	1.5513	1.6779	80.008	0.63	1.23	127.55	134.74	18.49	True	no
3452	Aragonite	1.4336	1.351	3	256.36	355.50	2.1586	2.5527	106.05	0.45	1.03	51.18	35.39	50.30	True	no
3453	Aragonite	3.8912	2.2259	6	355.58	356.34	2.5289	1.2909	152.37	0.63	1.19	121.28	156.06	106.77	True	no
3454	Aragonite	8.704	3.329	5	523.34	360.60	6.0843	3.3404	58.744	1.08	2.53	23.71	42.32	30.03	True	no
3455	Aragonite	1.4336	1.351	3	107.07	355.50	1.8159	1.8064	145.68	0.48	0.83	1.67	78.78	130.43	True	no
3456	Aragonite	2.3552	1.7317	4	139.26	356.78	2.2886	1.7466	117.66	0.82	2.16	116.26	46.43	109.13	True	no
3457	Aragonite	3.8912	2.2259	6	150.29	357.53	2.7029	1.4746	68.847	0.77	1.80	81.49	50.08	129.97	True	no
3458	Aragonite	1.4336	1.351	5	154.71	355.36	1.5157	1.2587	125.51	0.44	0.80	55.60	138.89	68.06	True	no
3459	Aragonite	3.072	1.9777	5	159.77	357.03	2.4139	1.4898	151.35	0.65	1.39	150.99	89.78	60.26	True	no
3460	Aragonite	1.1264	1.1976	2	222.82	356.09	1.6706	1.946	94.399	1.26	1.97	41.47	57.61	93.08	True	no
3461	Aragonite	3.6864	2.1665	6	251.44	359.44	3.7695	3.0273	119.14	1.86	2.91	31.77	30.88	62.97	True	no
3462	Aragonite	28.979	6.0743	16	266.47	365.04	6.5565	1.1651	85.141	1.71	6.88	151.65	148.30	53.49	True	no
3463	Aragonite	3.2768	2.0426	5	372.00	357.72	2.6134	1.637	57.841	0.71	1.77	178.44	160.08	111.65	True	no
3464	Aragonite	11.264	3.7871	9	381.25	359.32	4.2949	1.2862	11.797	1.54	2.61	119.06	121.73	33.69	True	no
3465	Aragonite	2.7648	1.8762	5	418.74	357.41	2.5233	1.8087	122.19	0.84	1.44	3.37	113.43	110.49	True	no
3466	Aragonite	3.8912	2.2259	4	463.55	359.63	3.8226	2.9493	119	0.65	1.52	49.68	162.27	91.51	True	no
3467	Aragonite	7.8848	3.1685	7	482.27	359.64	4.2789	1.8238	150.99	1.49	4.36	160.11	116.00	84.40	True	no
3468	Aragonite	1.536	1.3985	3	142.87	357.93	1.9852	2.0151	100.56	0.68	1.70	115.11	79.50	37.24	True	no
3469	Aragonite	1.3312	1.3019	3	346.85	357.46	2.33	3.2031	74.031	0.96	1.87	83.30	59.99	166.72	True	no
3470	Aragonite	1.1264	1.1976	3	403.45	356.82	1.4693	1.5054	138.97	0.61	0.89	80.80	27.40	73.37	True	no
3471	Aragonite	3.3792	2.0743	6	408.79	358.70	2.907	1.9642	127.66	0.73	1.33	55.20	86.89	68.65	True	no
3472	Aragonite	1.8432	1.5319	4	115.28	358.22	1.7756	1.3435	80.213	0.66	1.44	97.55	132.70	163.25	True	no
3473	Aragonite	1.3312	1.3019	3	130.92	357.77	1.3191	1.0267	18.435	0.58	1.05	46.39	80.62	101.89	True	no
3474	Aragonite	8.8064	3.3485	8	191.45	360.31	3.7857	1.2782	126.83	0.92	1.65	15.85	77.82	68.60	True	no
3475	Aragonite	7.2704	3.0425	4	288.01	361.68	4.0142	1.7407	44.062	0.84	1.98	20.95	30.12	39.64	True	no
3476	Aragonite	4.5056	2.3951	6	297.77	359.07	3.1582	1.7387	21.398	1.09	2.05	162.55	139.72	95.16	True	no
3477	Aragonite	1.2288	1.2508	4	310.75	357.33	1.34	1.1477	70.195	0.65	1.54	107.52	140.59	7.58	True	no
3478	Aragonite	1.1264	1.1976	4	394.82	357.45	1.4693	1.5054	131.03	0.57	1.03	41.70	93.40	50.81	True	no
3479	Aragonite	19.456	4.9772	12	434.49	372.94	9.3125	3.5008	72.963	2.43	5.38	133.83	49.92	90.70	True	no
3480	Aragonite	2.3552	1.7317	3	104.65	359.57	2.149	1.5401	102.53	0.53	0.75	164.71	137.58	11.04	True	no
3481	Aragonite	6.0416	2.7735	3	110.42	362.81	3.9607	2.0393	113.95	1.01	2.26	38.49	115.85	59.22	True	no
3482	Aragonite	1.2288	1.2508	3	146.17	358.83	1.5419	1.5196	91.907	0.87	1.45	160.05	128.18	50.65	True	no
3483	Aragonite	2.048	1.6148	5	179.25	360.30	2.9564	3.3519	53.289	0.97	1.58	40.35	91.18	10.95	True	no
3484	Aragonite	5.5296	2.6534	6	225.39	362.06	3.6453	1.8874	86.994	0.88	1.63	62.02	15.67	46.22	True	no
3485	Aragonite	4.8128	2.4754	5	246.32	361.43	2.6013	1.1043	83.023	0.91	1.98	34.32	163.93	12.76	True	no
3486	Aragonite	4.7104	2.449	7	306.76	361.20	3.148	1.6523	154.29	0.84	2.12	100.01	88.04	7.08	True	no
3487	Aragonite	2.56	1.8054	5	313.88	360.36	2.2504	1.5537	62.815	0.88	1.95	105.40	90.08	5.72	True	no
3488	Aragonite	2.7648	1.8762	3	334.15	360.30	2.8099	2.2429	134.45	0.63	1.22	86.52	59.92	163.83	True	no
3489	Aragonite	3.8912	2.2259	5	351.03	360.42	2.448	1.2096	1.7045	0.84	1.80	32.35	130.77	34.28	True	no
3490	Aragonite	2.1504	1.6547	3	470.62	359.19	2.0309	1.5064	132.89	0.85	1.90	26.21	33.68	109.15	True	no
3491	Aragonite	4.8128	2.4754	4	510.87	359.98	3.4224	1.9115	19.096	1.06	2.61	116.19	98.22	72.98	True	no
3492	Aragonite	1.024	1.1418	3	117.70	360.10	1.6011	1.9663	56.417	0.51	0.76	47.02	75.33	96.89	True	no
3493	Aragonite	2.3552	1.7317	5	135.74	360.57	2.5494	2.1674	123.02	0.71	1.23	179.35	99.95	54.94	True	no
3494	Aragonite	1.3312	1.3019	5	154.62	359.38	1.4105	1.1737	45	0.51	1.18	174.28	87.17	43.18	True	no
3495	Aragonite	3.6864	2.1665	7	164.92	361.92	2.5859	1.4246	115.86	0.95	1.53	123.33	103.35	135.48	True	no
3496	Aragonite	3.2768	2.0426	4	185.00	360.81	2.6069	1.6289	147.45	1.03	2.15	74.68	104.04	68.67	True	no
3497	Aragonite	5.632	2.6779	7	201.02	363.16	4.1966	2.4559	121.22	0.68	1.22	159.01	94.66	138.12	True	no
3498	Aragonite	7.68	3.1271	6	237.44	363.85	5.1786	2.7425	55.892	1.21	2.82	27.51	117.15	150.14	True	no
3499	Aragonite	1.2288	1.2508	4	318.25	360.08	1.7012	1.8497	85.163	0.48	0.79	99.57	88.14	6.98	True	no
3500	Aragonite	1.1264	1.1976	4	360.91	359.91	1.5335	1.6396	135	0.56	0.95	33.14	130.79	34.34	True	no
3501	Aragonite	1.9456	1.5739	3	414.37	360.16	1.687	1.1488	82.372	0.68	1.18	36.25	125.87	133.42	True	no
3502	Aragonite	4.3008	2.3401	6	443.07	362.24	3.4317	2.1506	61.702	1.12	2.36	16.45	117.01	126.55	True	no
3503	Aragonite	5.0176	2.5276	6	457.90	363.86	4.9643	3.8576	116.04	0.85	1.33	47.66	163.28	87.14	True	no
