Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1211	Aragonite	1.536	1.3985	3	310.27	169.93	1.6975	1.4733	62.451	0.57	2.14	125.41	48.63	95.28	True	no
1212	Aragonite	1.1264	1.1976	3	337.18	169.82	1.2204	1.0385	135	0.82	1.77	60.27	47.92	56.89	True	no
1213	Aragonite	10.752	3.7	5	435.66	174.90	4.1942	1.285	76.879	1.05	2.53	97.55	124.85	16.75	True	no
1214	Aragonite	3.072	1.9777	6	451.97	170.13	2.5478	1.6595	155.74	0.71	1.87	69.22	124.00	60.67	True	no
1215	Aragonite	2.2528	1.6936	5	463.32	170.86	1.7996	1.1291	129.8	0.73	1.48	96.58	48.71	19.83	True	no
1216	Aragonite	1.8432	1.5319	6	32.11	172.83	2.9209	3.6355	117.74	1.08	1.54	115.33	85.44	76.51	True	no
1217	Aragonite	2.56	1.8054	4	112.76	172.52	2.3059	1.6312	112.69	1.13	1.89	119.09	56.64	30.79	True	no
1218	Aragonite	5.9392	2.7499	5	183.12	174.72	3.6231	1.7359	99.916	0.97	2.79	107.60	84.84	53.57	True	no
1219	Aragonite	21.811	5.2698	14	243.65	177.58	6.8118	1.6708	156.63	1.99	6.51	126.58	145.01	162.56	True	no
1220	Aragonite	1.9456	1.5739	4	326.58	170.95	1.9454	1.5277	149.27	0.96	1.61	73.91	111.66	65.48	True	no
1221	Aragonite	2.048	1.6148	4	371.65	170.90	1.8512	1.3142	179.08	1.05	1.37	64.82	76.41	57.17	True	no
1222	Aragonite	2.1504	1.6547	4	409.90	172.10	2.4825	2.2509	119.46	0.85	1.47	163.18	142.35	96.76	True	no
1223	Aragonite	3.4816	2.1054	4	469.26	172.09	2.4281	1.33	160.16	1.37	2.27	76.87	84.58	120.87	True	no
1224	Aragonite	5.632	2.6779	5	481.09	174.24	3.756	1.9673	103.57	0.85	1.86	81.73	29.13	73.81	True	no
1225	Aragonite	1.6384	1.4443	2	23.38	172.19	1.8372	1.6181	121.96	0.85	1.40	1.23	167.59	164.01	True	no
