Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
90,Aragonite,3.6,2.1409,7,20.4,28.58,2.9009,1.8359,63.485,1.69,2.91,126.14,66.43,139.04,True,no,1.28093384546206,1.06502103367302,1.24099417422179,0.215912811789045
91,Aragonite,1.17,1.2205,3,126.69,25.08,1.4995,1.5093,2.8553,0.48,1.45,17.19,73.24,161.81,True,no,0.157003748809665,0.405131719206927,0.780260086695565,-0.248127970397262
92,Aragonite,1.26,1.2666,4,137.71,26.86,2.0684,2.6667,81.136,0.63,1.4,25.04,128.23,101.81,True,no,0.231111720963387,0.726775361539929,0.609166505511507,-0.495663640576543
93,Aragonite,6.75,2.9316,7,193.27,28.6,3.9176,1.7858,20.62,1.51,2.29,140.14,54.52,49.56,True,no,1.90954250488444,1.36547922140597,1.72299366959363,0.544063283478468
94,Aragonite,1.44,1.3541,2,358.5,26.88,1.7161,1.6062,110.82,0.71,0.95,61.99,118.83,174.1,True,no,0.364643113587909,0.54005427442612,0.839111939863644,-0.175411160838211
95,Aragonite,0.99,1.1227,0,365,25.45,1.1821,1.1085,54.992,0.31,0.34,91.32,88.53,6.57,True,no,-0.0100503358535015,0.167292517774194,0.837492597918958,-0.177342853627696
96,Aragonite,1.08,1.1726,0,496.75,25.58,1.3423,1.3103,122.07,0.45,0.54,168.45,81.11,9.92,True,no,0.0769610411361284,0.294384560511453,0.804589138046636,-0.217423519375325
97,Aragonite,3.69,2.1675,4,44.41,29.78,2.6946,1.5455,112.04,0.66,1.71,165.9,95.12,20.69,True,no,1.30562645805244,0.99124977033961,1.36940547762191,0.314376687712825
98,Aragonite,1.62,1.4362,4,96.94,27.67,2.1805,2.305,130.93,0.55,1.06,170.99,76.69,137.77,True,no,0.482426149244293,0.779554208300684,0.742948864939234,-0.297128059056391
99,Aragonite,1.26,1.2666,4,100.64,27.71,1.7143,1.8319,91.511,0.57,0.84,131.36,111.54,131.06,True,no,0.231111720963387,0.539004834031298,0.734993875051041,-0.307893113067912
